size,empties,clues,phase,solve_rate,frac_correct,format_rate
4,1,15,before,0.0700,0.1600,0.3200
4,1,15,after,0.9900,0.9900,1.0000
4,2,14,before,0.0000,0.1050,0.4300
4,2,14,after,0.9300,0.9600,1.0000
4,3,13,before,0.0300,0.1633,0.4900
4,3,13,after,0.8600,0.9267,1.0000
4,4,12,before,0.0000,0.1300,0.4900
4,4,12,after,0.7300,0.8625,1.0000
4,6,10,before,0.0000,0.1083,0.4900
4,6,10,after,0.4600,0.7683,1.0000
4,8,8,before,0.0000,0.1988,0.7000
4,8,8,after,0.3200,0.6600,1.0000
6,2,34,before,0.0000,0.1550,0.7300
6,2,34,after,0.1700,0.2000,0.2500
6,4,32,before,0.0000,0.1525,0.6400
6,4,32,after,0.0400,0.0625,0.0800
6,8,28,before,0.0000,0.1288,0.7600
6,8,28,after,0.0000,0.0138,0.0200
6,12,24,before,0.0000,0.1442,0.8700
6,12,24,after,0.0000,0.0058,0.0100
9,4,77,before,0.0400,0.2975,0.9800
9,4,77,after,0.1900,0.6100,0.9500
9,8,73,before,0.0000,0.2838,0.9800
9,8,73,after,0.0300,0.5537,1.0000
9,16,65,before,0.0000,0.2300,1.0000
9,16,65,after,0.0000,0.4462,1.0000
